eGRID2019 Plant file sequence number,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Utility ID,Plant county name,Plant latitude,Plant longitude,Number of units,Plant primary coal/oil/gas/ other fossil fuel category
SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,UTLSRVNM,UTLSRVID,CNTYNAME,LAT,LON,NUMUNT,PLFUELCT
10141,2019,SC,WSW Solar,62350,WSW Solar,61868,Calhoun,33.665986,-80.861375,1,SOLAR
10142,2019,SC,Wylie,3271,"Duke Energy Carolinas, LLC",5416,York,35.0218,-81.0078,4,HYDRO
10143,2019,SC,Wysong Solar,62351,Wysong Solar,61869,Dillon,34.277131,-79.268833,1,SOLAR
10144,2019,SC,Yemassee Solar,62353,Yemassee Solar,61870,Beaufort,32.705139,-80.903275,1,SOLAR
10145,2019,SC,York Solar,62354,York Solar,61871,Laurens,34.503269,-82.252081,1,SOLAR
10146,2019,SD,Aberdeen Generating Station,3338,NorthWestern Energy - (SD),13809,Brown,45.429884,-98.49396,2,GAS
10147,2019,SD,Angus Anson,7237,Northern States Power Co - Minnesota,13781,Minnehaha,43.60347,-96.6356,3,GAS
10148,2019,SD,Astoria Station,61144,Otter Tail Power Co,14232,Deuel,44.574965,-96.55942,1,GAS
10149,2019,SD,Aurora County Wind,61745,Consolidated Edison Development Inc.,56769,Aurora,43.719,-98.752,1,WIND
10150,2019,SD,Beethoven Wind,59187,NorthWestern Energy - (SD),13809,Bon Homme,43.16,-98.08,1,WIND
10151,2019,SD,Ben French,3325,"Black Hills Power, Inc. d/b/a",19545,Pennington,44.087235,-103.260959,10,GAS
10152,2019,SD,Big Bend Dam,3375,USACE-Omaha,19635,Buffalo,44.0384,-99.4463,8,HYDRO
10153,2019,SD,Big Stone,6098,Otter Tail Power Co,14232,Grant,45.303652,-96.510067,1,COAL
10154,2019,SD,Brule County Wind,61746,Consolidated Edison Development Inc.,56769,Brule,43.717,-98.922,1,WIND
10155,2019,SD,Buffalo Ridge I LLC,56792,Avangrid Renewables LLC,15399,Brookings,44.4328,-96.4779,1,WIND
10156,2019,SD,Buffalo Ridge II LLC,57424,Avangrid Renewables LLC,15399,Brookings,44.5281,-96.6267,1,WIND
10157,2019,SD,Campbell County Wind Farm,59655,Consolidated Edison Development Inc.,56769,Campbell,45.753333,-100.275,1,WIND
10158,2019,SD,Chamberlain Wind Project,7974,Basin Electric Power Coop,1307,Brule,43.848529,-99.24757,2,WIND
10159,2019,SD,Clark (SD),3341,NorthWestern Energy - (SD),13809,Clark,44.876484,-97.732102,1,OIL
10160,2019,SD,Coyote Ridge,61047,Coyote Ridge LLC,63083,Brookings,44.45,-96.55,1,WIND
10161,2019,SD,Crocker Wind Farm,60505,"Crocker Wind Farm, LLC",60290,Clark,45.051544,-97.826423,1,WIND
10162,2019,SD,Crowned Ridge Wind Energy Center,60503,"Crowned Ridge Wind, LLC",61416,Codington,45.154947,-96.836839,1,WIND
10163,2019,SD,Crowned Ridge Wind II Energy Center,63269,Crowned Ridge Wind II LLC,63064,Codington,45.0054,-96.929945,1,WIND
10164,2019,SD,Dakota Range III Wind Project,63102,Engie North America,56201,Grant,45.267621,-97.103982,1,WIND
10165,2019,SD,Day County Wind LLC,57194,Day County Wind LLC,56561,Day,45.215,-97.9056,1,WIND
10166,2019,SD,Deer Creek Station,56610,Basin Electric Power Coop,1307,Brookings,44.290833,-96.526667,1,GAS
10167,2019,SD,Deuel Harvest Wind Energy LLC,62943,Invenergy Services LLC,49893,Deuel,44.863583,-96.534631,1,WIND
10168,2019,SD,Faulkton,3342,NorthWestern Energy - (SD),13809,Faulk,45.036685,-99.120186,1,OIL
10169,2019,SD,Fort Randall,3373,USACE-Omaha,19635,Charles Mix,43.0653,-98.5539,8,HYDRO
